faram_product_id,product_name,manufacturer_name,product_family,equipment_category,model,keywords,exclusion_keywords,principal_status,territory,source,notes
FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,Centrifuge,Centrifuge,75003658,"centrifuge,75003658,bench-top,4000-5000 RPM","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Thermo Scientific for a bench-top centrifuge and identifies Cat 75003658. Current principal authorization remains to be verified."
FARAM-TRACEABLE-THERMOMETER-001,Traceable digital probe thermometer,Traceable,Digital Probe Thermometer,Digital Probe Thermometer,,"digital probe thermometer,Traceable,temperature","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Fisher Scientific for a Traceable digital probe thermometer; supporting brochure is a Traceable product document. Model not resolved from source package. Current principal authorization remains to be verified."
FARAM-HAWACH-FILTER-001,Hawach vacuum filtration system,Hawach,Membrane Filtration System,Membrane Filtration System,,"vacuum filtration,membrane filtration,funnel,47mm","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Hawach for the membrane filtration system; supporting brochure identifies Hawach Scientific. Model not resolved from source package. Current principal authorization remains to be verified."
FARAM-THERMO-HOTPLATE-001,Thermo Scientific magnetic stirrer with hotplate,Thermo Scientific,Hotplate Stirrer,Hotplate Stirrer,,"hotplate stirrer,magnetic stirrer,heating,stirring","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Thermo Scientific for a magnetic stirrer with hotplate and references RT2 advanced aluminium top. Model not resolved from source package. Current principal authorization remains to be verified."
FARAM-THERMO-VORTEX-001,Thermo Scientific Vortex Mixer,Thermo Scientific,Vortex Mixer,Vortex Mixer,,"vortex mixer,variable speed,continuous operation","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Thermo Scientific for a vortex mixer; supporting brochure is included. Exact model was not resolved reliably from the source package. Current principal authorization remains to be verified."
FARAM-WTW-PHOTOLAB7600-001,WTW photoLab 7600 UV-VIS Spectrophotometer,WTW,UV-VIS Spectrophotometer,UV-VIS Spectrophotometer,photoLab 7600 UV-VIS,"UV-VIS,spectrophotometer,190-1100 nm,photoLab 7600","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly identifies photoLab 7600 UV-VIS, WTW and manufacturer Cat 15543409; supporting WTW/Xylem brochure is included. Current principal authorization remains to be verified."
FARAM-WTW-THERMOREACTOR-CR3200-001,WTW Thermoreactor CR 3200,WTW,Thermoreactor,Thermoreactor,CR 3200,"thermoreactor,COD,digestion,CR 3200","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists WTW as preferred and quoted brand and identifies Cat CR 3200; supporting brochure is included. Current principal authorization remains to be verified."
FARAM-HANNA-HI83303-001,Hanna Instruments HI83303 water photometer,Hanna Instruments,Water Photometer,Water Photometer,HI83303-02,"water photometer,multiparameter,HI83303","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 quotes Hanna Instruments and identifies HI83303-02; supporting Hanna brochure is included. Current principal authorization remains to be verified."
FARAM-MD-ID5E-001,SpectraMax iD5e Multi-Mode Microplate Reader,Molecular Devices,Multi-Mode Microplate Reader,ELISA Reader,iD5e,"microplate reader,ELISA,fluorescence,luminescence,absorbance,iD5e","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists Molecular Devices as preferred and quoted brand and identifies SpectraMax iD5e; supporting Molecular Devices brochure is included. Current principal authorization remains to be verified."
FARAM-THERMO-AMPQUEST96-001,Thermo Fisher Scientific AmpQuest 96 Real-Time PCR System,Thermo Fisher Scientific,Real-Time PCR System,PCR System,AmpQuest 96,"qPCR,real-time PCR,AmpQuest 96,96 well","",pending,Kenya,OUTLOOK_QUOTATION,"Faram quotation QTFEA103465PM dated 30/03/2026 explicitly lists Thermo Fisher Scientific as preferred brand and identifies AmpQuest 96 Real-Time PCR System; supporting Thermo Fisher brochure is included. Current principal authorization remains to be verified."
